TagID_Hex,PRI_nominal
40F6,5
410E,5
40EC,5
4170,5
3CCC,5
4036,5
409E,5
4130,5
3D02,5
3F24,5
4104,5
40F2,5
3EFA,5
3E50,5
41E8,5
3EDC,5
3F76,5
4140,5
3DC4,5
3E3A,5
4032,5
423C,5
421C,5
405C,5
3D3C,5
3F12,5
4014,5
3FAE,5
4042,5
3ECC,5
4016,5
40A0,5
40CE,5
3E0A,5
4186,5
4106,5
41A0,5
3E6C,5
3E86,5
3CC2,5
4028,5
3DF4,5
3DF6,5
410C,5
3E4E,5
3D0C,5
40BC,5
3D7C,5
3F58,5
3E32,5
4022,5
3E9C,5
403A,5
3DE8,5
418C,5
3E62,5
41CE,5
40C8,5
3E5C,5
3FB2,5
3C7A,5
41B0,5
4190,5
3E66,5
3F68,5
3D7E,5
3F9A,5
3F28,5
3C8E,5
4074,5
4178,5
41DE,5
3E4C,5
4184,5
417C,5
41E2,5
3F44,5
3FD4,5
3E9E,5
3ED8,5
406E,5
404E,5
411E,5
3CBE,5
4204,5
41C6,5
4138,5
3DB0,5
3E76,5
4182,5
420E,5
3F46,5
3D06,5
4230,5
3EEC,5
401A,5
4050,5
3E98,5
3D40,5
3D84,5
3E36,5
3D78,5
3D10,5
41F4,5
3F0A,5
3F14,5
40E4,5
3F4C,5
3F7A,5
3DE4,5
3E24,5
4088,5
3E14,5
3F1A,5
3D38,5
402C,5
40C4,5
40DE,5
3F2C,5
4198,5
3CF4,5
4026,5
3E34,5
41EC,5
3CE2,5
3CE6,5
3E12,5
3E90,5
3EE8,5
3D98,5
4090,5
3F96,5
3C9C,5
3EBC,5
3FEA,5
4062,5
3CC6,5
3F4E,5
3E58,5
3D9C,5
3DBC,5
40D0,5
409C,5
41BE,5
40E6,5
3F3A,5
3EC6,5
3E46,5
40E8,5
3E6E,5
41D8,5
3E8E,5
4118,5
3E82,5
417E,5
3FA6,5
3CC8,5
4202,5
3FBA,5
3EBE,5
3FB4,5
3ECE,5
3EDE,5
3F50,5
3DCC,5
3E44,5
3DE2,5
4076,5
421E,5
3CF6,5
3E5E,5
3F66,5
3D1C,5
3C90,5
3CBC,5
400A,5
3DDC,5
3FDA,5
3D1E,5
40DC,5
3DF2,5
3F42,5
